namapemda,provinsi,pulau,tahun,jenis,level1,level2,Level2a,level3,level3a,nilai
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,521. Belanja Modal Tanah,520. Belanja Modal,27517880480.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,522. Belanja Modal Peralatan dan Mesin,520. Belanja Modal,381901472001.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,523. Belanja Modal Gedung dan Bangunan,520. Belanja Modal,649261947333.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,"524. Belanja Modal Jalan, Jaringan, dan Irigasi",520. Belanja Modal,561864344482.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,525. Belanja Modal Aset Tetap Lainnya,520. Belanja Modal,115788751544.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,53. Belanja Tidak Terduga,54. Belanja Lainnya,531. Belanja Tidak Terduga,531. Belanja Tidak Terduga,67435963704.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,541. Belanja Bagi Hasil,541. Belanja Bagi Hasil,862505133575.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,950774053151.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,61. Penerimaan Pembiayaan,61. SILPA TA Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,1007039788905.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,62. Pengeluaran Pembiayaan,66. Pengeluaran Pembiayaan Lainnya,621. Pembentukan Dana Cadangan,621. Pembentukan Dana Cadangan,75000000000.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,62. Pengeluaran Pembiayaan,64. Penyertaan Modal,622. Penyertaan Modal Daerah,622. Penyertaan Modal Daerah,25000000000.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,411. Pajak Daerah,411. Pajak Daerah,25809492758.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,412. Retribusi Daerah,412. Retribusi Daerah,11386362960.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,5000000000.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,414. Lain-lain PAD yang Sah,414. Lain-Lain PAD yang Sah,92269476078.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,421. Pendapatan Transfer Pemerintah Pusat,1060862970990.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,422. Pendapatan Transfer Antar Daerah,70317524700.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,431. Pendapatan Hibah,431. Pendapatan Hibah,900000000.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,433. Lain-Lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,13393749600.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,51. Belanja Pegawai,511. Belanja Pegawai,511. Belanja Pegawai,556143073769.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,247587531629.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,514. Belanja Subsidi,514. Belanja Subsidi,1347758179.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,515. Belanja Hibah,515. Belanja Hibah,25244375993.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,516. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,10819290672.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,521. Belanja Modal Tanah,520. Belanja Modal,2100000000.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,522. Belanja Modal Peralatan dan Mesin,520. Belanja Modal,30867123858.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,523. Belanja Modal Gedung dan Bangunan,520. Belanja Modal,25872422904.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,"524. Belanja Modal Jalan, Jaringan, dan Irigasi",520. Belanja Modal,120528748990.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,525. Belanja Modal Aset Tetap Lainnya,520. Belanja Modal,36094710.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,53. Belanja Tidak Terduga,54. Belanja Lainnya,531. Belanja Tidak Terduga,531. Belanja Tidak Terduga,9683937110.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,541. Belanja Bagi Hasil,541. Belanja Bagi Hasil,3717985572.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,300991233700.0
Kab. Aceh Barat,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,61. Penerimaan Pembiayaan,61. SILPA TA Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,55000000000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,411. Pajak Daerah,411. Pajak Daerah,107479490000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,412. Retribusi Daerah,412. Retribusi Daerah,7903848000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,8080000000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,414. Lain-lain PAD yang Sah,414. Lain-Lain PAD yang Sah,31100662000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,421. Pendapatan Transfer Pemerintah Pusat,1455296317000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,422. Pendapatan Transfer Antar Daerah,87240193746.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,431. Pendapatan Hibah,431. Pendapatan Hibah,2197944000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,433. Lain-Lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,46500000000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,51. Belanja Pegawai,511. Belanja Pegawai,511. Belanja Pegawai,614677341060.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,369361052445.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,514. Belanja Subsidi,514. Belanja Subsidi,1007075091.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,515. Belanja Hibah,515. Belanja Hibah,94358513532.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,516. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,14877653510.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,522. Belanja Modal Peralatan dan Mesin,520. Belanja Modal,25806525987.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,523. Belanja Modal Gedung dan Bangunan,520. Belanja Modal,22042873759.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,"524. Belanja Modal Jalan, Jaringan, dan Irigasi",520. Belanja Modal,47907027732.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,525. Belanja Modal Aset Tetap Lainnya,520. Belanja Modal,585540000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,53. Belanja Tidak Terduga,54. Belanja Lainnya,531. Belanja Tidak Terduga,531. Belanja Tidak Terduga,5000000000.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,541. Belanja Bagi Hasil,541. Belanja Bagi Hasil,11538333800.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,548636517830.0
Kab. Aceh Besar,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,61. Penerimaan Pembiayaan,61. SILPA TA Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,10000000000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,411. Pajak Daerah,411. Pajak Daerah,11921194822.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,412. Retribusi Daerah,412. Retribusi Daerah,10305149460.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,6500000000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,414. Lain-lain PAD yang Sah,414. Lain-Lain PAD yang Sah,130348655718.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,421. Pendapatan Transfer Pemerintah Pusat,1188072059000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,422. Pendapatan Transfer Antar Daerah,78759510750.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,431. Pendapatan Hibah,431. Pendapatan Hibah,1174000000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,433. Lain-Lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,16030690000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,51. Belanja Pegawai,511. Belanja Pegawai,511. Belanja Pegawai,519923348442.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,352746882802.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,514. Belanja Subsidi,514. Belanja Subsidi,1378800000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,515. Belanja Hibah,515. Belanja Hibah,57001043680.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,516. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,7097374000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,521. Belanja Modal Tanah,520. Belanja Modal,1676394003.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,522. Belanja Modal Peralatan dan Mesin,520. Belanja Modal,74323503997.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,523. Belanja Modal Gedung dan Bangunan,520. Belanja Modal,123410273537.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,"524. Belanja Modal Jalan, Jaringan, dan Irigasi",520. Belanja Modal,114639058730.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,525. Belanja Modal Aset Tetap Lainnya,520. Belanja Modal,126111882.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,526. Belanja Modal Aset Lainnya,520. Belanja Modal,48500000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,53. Belanja Tidak Terduga,54. Belanja Lainnya,531. Belanja Tidak Terduga,531. Belanja Tidak Terduga,10000000000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,541. Belanja Bagi Hasil,541. Belanja Bagi Hasil,2548019782.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,258673878000.0
Kab. Aceh Selatan,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,61. Penerimaan Pembiayaan,61. SILPA TA Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,80481929105.4
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,411. Pajak Daerah,411. Pajak Daerah,11655000000.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,412. Retribusi Daerah,412. Retribusi Daerah,26331389600.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2451952004.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,414. Lain-lain PAD yang Sah,414. Lain-Lain PAD yang Sah,13750000000.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,421. Pendapatan Transfer Pemerintah Pusat,664501973000.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,422. Pendapatan Transfer Antar Daerah,57330431881.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,433. Lain-Lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,8565413227.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,51. Belanja Pegawai,511. Belanja Pegawai,511. Belanja Pegawai,329022697152.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,195162617814.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,514. Belanja Subsidi,514. Belanja Subsidi,2000000000.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,515. Belanja Hibah,515. Belanja Hibah,22506878291.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,516. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,13502998915.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,521. Belanja Modal Tanah,520. Belanja Modal,1525000000.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,522. Belanja Modal Peralatan dan Mesin,520. Belanja Modal,30511401174.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,523. Belanja Modal Gedung dan Bangunan,520. Belanja Modal,13814318940.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,"524. Belanja Modal Jalan, Jaringan, dan Irigasi",520. Belanja Modal,36692734756.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,525. Belanja Modal Aset Tetap Lainnya,520. Belanja Modal,99750000.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,52. Belanja Modal,53. Belanja Modal,526. Belanja Modal Aset Lainnya,520. Belanja Modal,758205200.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,53. Belanja Tidak Terduga,54. Belanja Lainnya,531. Belanja Tidak Terduga,531. Belanja Tidak Terduga,5357534710.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,541. Belanja Bagi Hasil,541. Belanja Bagi Hasil,3798638960.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,54. Belanja Transfer,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,136559383800.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,61. Penerimaan Pembiayaan,61. SILPA TA Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,8000000000.0
Kab. Aceh Singkil,Provinsi Aceh,Sumatera,2023,Anggaran,6. Pembiayaan,62. Pengeluaran Pembiayaan,64. Penyertaan Modal,622. Penyertaan Modal Daerah,622. Penyertaan Modal Daerah,1274000000.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,411. Pajak Daerah,411. Pajak Daerah,15035500000.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,412. Retribusi Daerah,412. Retribusi Daerah,8467173752.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,6600000000.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,414. Lain-lain PAD yang Sah,414. Lain-Lain PAD yang Sah,119075376563.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,421. Pendapatan Transfer Pemerintah Pusat,1018593611700.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,422. Pendapatan Transfer Antar Daerah,74238503995.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,431. Pendapatan Hibah,431. Pendapatan Hibah,2176000000.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,433. Lain-Lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,15000000000.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,51. Belanja Pegawai,511. Belanja Pegawai,511. Belanja Pegawai,553969212797.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,266251541924.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,514. Belanja Subsidi,514. Belanja Subsidi,768082000.0
Kab. Aceh Tengah,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,515. Belanja Hibah,515. Belanja Hibah,39207855831.0
